source,target,weight
1009257,1009417,144
1009257,1011336,12
1009257,1009407,6
1009257,1009504,185
1009257,1009310,241
1009257,1009367,1
1009257,1009318,5
1009257,1009215,3
1009257,1009524,32
1009257,1010370,3
1009257,1009337,82
1009257,1009182,93
1009257,1011490,8
1009257,1009508,90
1009257,1009466,29
1009257,1009219,65
1009257,1009719,1
1009257,1011109,11
1009257,1009554,33
1009257,1009499,65
1009257,1009343,5
1009257,1009277,26
1009257,1009452,2
1009257,1009389,4
1009257,1009609,2
1009257,1009224,19
1009257,1010771,7
1009257,1009652,4
1009257,1009288,3
1009257,1009381,69
1009257,1009365,3
1009257,1009480,3
1009257,1009267,35
1009257,1010738,25
1009257,1009705,25
1009257,1009379,4
1009257,1009477,4
1009257,1009608,2
1009257,1009312,10
1009257,1009327,108
1009257,1009382,30
1009257,1009297,4
1009257,1009638,28
1009257,1009325,5
1009257,1009722,12
1009257,1010354,11
1009268,1009282,5
1009268,1009629,8
1009268,1009366,1
1009268,1009175,7
1009268,1009243,2
1009268,1009515,19
1009268,1009187,12
1009268,1010791,3
1009268,1009459,2
1009268,1009546,22
1009268,1009472,15
1009268,1009592,1
1009268,1009338,7
1009268,1009362,11
1009268,1009159,27
1009268,1009697,2
1009268,1009313,14
1009268,1009214,61
1009268,1009562,1
1009268,1009471,5
1009268,1009189,4
1009268,1010338,2
1009268,1009583,2
1009268,1009724,57
1009268,1009512,44
1009268,1009707,6
1009268,1009281,5
1009268,1009417,6
1009268,1009708,2
1009268,1009407,3
1009268,1009310,6
1009268,1009367,13
1009268,1010360,1
1009268,1009215,8
1009268,1009524,8
1009268,1009337,1
1009268,1009182,8
1009268,1011490,1
1009268,1009508,6
1009268,1011299,2
1009268,1009219,4
1009268,1009719,1
1009268,1009554,21
1009268,1009499,1
1009268,1009277,34
1009268,1009452,4
1009268,1009389,4
1009268,1009652,5
1009268,1009288,2
1009268,1009381,1
1009268,1009365,5
1009268,1009480,1
1009268,1009267,4
1009268,1010738,1
1009268,1009705,20
1009268,1009608,2
1009268,1009312,3
1009268,1009327,3
1009268,1009382,9
1009268,1010373,12
1009268,1009638,5
1009268,1009325,1
1009268,1009722,8
1009268,1010354,1
1009282,1009629,11
1009282,1009366,25
1009282,1009175,26
1009282,1009243,10
1009282,1009515,24
1009282,1009187,32
1009282,1010791,31
1009282,1009459,50
1009282,1009546,3
1009282,1009472,5
1009282,1009592,52
1009282,1009338,31
1009282,1009362,6
1009282,1009159,4
1009282,1009697,18
1009282,1009313,1
1009282,1009214,2
1009282,1009562,31
1009282,1009471,13
1009282,1009189,17
1009282,1010338,17
1009282,1009583,18
1009282,1009512,5
1009282,1009707,19
1009282,1009281,25
1009282,1009417,4
1009282,1009708,10
1009282,1011336,5
1009282,1009407,22
1009282,1009504,9
1009282,1009310,6
1009282,1009367,36
1009282,1010360,3
1009282,1009318,8
1009282,1009215,34
