电影名,类型,上映日期,时长（分）,导演,主要演员,全部演员,票房,豆瓣链接,豆瓣评分,豆瓣评分人数,豆瓣短评数,豆瓣长评数,猫眼评分,时光网评分,imdb评分
冒牌搭档,喜剧,2018-11-30(中国大陆),86,林子聪 柯丁图,林子聪 艾晓琪 陈浩民,林子聪 艾晓琪 陈浩民 陈国坤 金刚 林雪 黄一山 李健仁 罗家英 田启文 那威 周奇奇,147,https://movie.douban.com/subject/30329714/,3.5,1135,505,17,6.4,,
命运速递,剧情 喜剧 犯罪,2018-05-25(中国大陆),90,李非,赵炳锐 吕晓霖 余皑磊,赵炳锐 吕晓霖 余皑磊 啜妮 张优 李非 顾长卫,141,https://movie.douban.com/subject/25918677/,6.3,5084,1909,101,7.2,6.3,6.0
八仙,动画,2018-11-03(中国大陆),87,曹博,,,138,https://movie.douban.com/subject/30227718/,,0,58,16,,,
一个人的课堂,剧情 儿童,2018-01-16(中国大陆),117,李军林,孙海英 王乃训 韩三明,孙海英 王乃训 韩三明,137,https://movie.douban.com/subject/26628256/,6.7,643,220,28,9.1,,
开学悸,惊悚 恐怖,2018-11-09(中国大陆),86,高朋 刘鼎业,秦语 曾淇 赵艺,秦语 曾淇 赵艺 曹晏豪 刘颖颖,137,https://movie.douban.com/subject/26774001/,,0,109,3,3.4,,
荒城纪,剧情 喜剧,2018-05-18(中国大陆),104,徐啸力,李畅 郝星棋 斯琴高娃,李畅 郝星棋 斯琴高娃 褚栓忠 王建国 阎青妤 高军 韩三明,137,https://movie.douban.com/subject/30167129/,6.9,7392,2386,184,7.9,7.2,6.7
热土,剧情,2018-12-28(中国大陆),102,周琦,吴其江 赵梦迪 李宝安,吴其江 赵梦迪 李宝安 李华 王馨琳 姚阔 杨采儿 李军 舒耀瑄 曹阳 梁椰文 兰岚 项洪 马可,134,https://movie.douban.com/subject/30405009/,,0,3,1,,,
因果启示录,剧情,2018-06-08(中国大陆),90,王陆涛,王姬 庹宗华 英壮,王姬 庹宗华 英壮 常索妮 傅冲 牛犇 姜少华 钱漪 孟秀 刘李优优 孙浩 向鼎 吴晴 桑吉平措 濡雪 高捷 陈平 陈薪羽 郭宏杰 吴泽琦 张逸松 王燚 高飞 王译 房博宇 赵鹏 孟奇,133,https://movie.douban.com/subject/30205398/,,0,41,9,8,,
伊阿索密码,科幻 悬疑 惊悚,2018-06-22(中国大陆),88,李伟 张楠,梁静 赵立新 李兰迪,梁静 赵立新 李兰迪 王佳佳 周明汕 胡晓光 杨轶 董大庆 贺宽 李圣佳,131,https://movie.douban.com/subject/26677141/,3.8,645,250,44,6.8,6.1,6.0
大三儿,纪录片,2018-08-20(中国大陆),106,佟晟嘉,叶云,叶云,130,https://movie.douban.com/subject/27119292/,7.6,8328,3213,166,8.8,7.4,7.1
