演员,id,参演电影总票房(亿),参演电影
伊藤美诚,1389336,0.1854,恋爱回旋
木造勇人,1389337,0.1854,恋爱回旋
吉村真晴,1389335,0.1854,恋爱回旋
浜本由惟,1389338,0.1854,恋爱回旋
郑卫莉,1316266,0.1809,中国蓝盔 出山
赵文卓,1000526,0.1798,功夫联盟
安志杰,1045364,0.1798,功夫联盟
杜宇航,1315999,0.1798,功夫联盟
书亚信,1360986,0.1798,功夫联盟
麦迪娜,1317420,0.1798,功夫联盟
张子文,1336394,0.1798,功夫联盟
何伟,1313982,0.1798,功夫联盟
飞儿,1322812,0.1798,功夫联盟
徐洪浩,1322975,0.1793,中国蓝盔
一龙,1398760,0.1793,中国蓝盔
彭士腾,1398761,0.1793,中国蓝盔
沈浩,1359362,0.1793,中国蓝盔
王韬,1398762,0.1793,中国蓝盔
曹凯,1333533,0.1793,中国蓝盔
伊莉莎,1317222,0.1793,中国蓝盔
达丽雅 GZ,1398764,0.1793,中国蓝盔
一二先生,1398765,0.1793,中国蓝盔
尚,1398766,0.1793,中国蓝盔
蔡明凯,1398767,0.1793,中国蓝盔
罗海琼,1274417,0.1784,我说的都是真的
李易祥,1290001,0.1784,我说的都是真的
朱云峰,1359721,0.1784,我说的都是真的
刘仪伟,1315726,0.1784,我说的都是真的
张璐,1340111,0.176,深海历险记
陈红,1333856,0.176,深海历险记
张云龙,1392570,0.176,深海历险记
杨希,1392571,0.176,深海历险记
胡静,1392572,0.176,深海历险记
敖磊,1325739,0.176,深海历险记
贾小军,1316552,0.176,深海历险记
涂小鸦,1392573,0.176,深海历险记
瑟妮娅·拉芙洛娃-格林卡,1384012,0.1738,花滑女王 最萌警探
彦·萨普尼克,1384011,0.1738,花滑女王 最萌警探
阿格拉娅·塔拉索娃,1384010,0.1717,花滑女王
米洛斯·比柯维奇,1332438,0.1717,花滑女王
玛丽亚·阿龙诺娃,1364751,0.1717,花滑女王
克谢尼娅·拉波波尔特,1000691,0.1717,花滑女王
帕维尔·迈科夫,1192178,0.1717,花滑女王
弗拉季米尔·弗多维琴科夫,1023442,0.1686,太空救援
帕维尔·杰列维扬科,1194282,0.1686,太空救援
柳波芙·阿克肖诺娃,1327850,0.1686,太空救援
欧克萨娜·范德拉,1085795,0.1686,太空救援
玛丽亚·米罗诺娃,1124564,0.1686,太空救援
伊戈尔·乌戈尔尼科夫,1364748,0.1686,太空救援
亚历山大·萨莫伊连科,1358195,0.1686,太空救援
亚历山大·拉特尼科夫,1375886,0.1686,太空救援
维塔利·哈耶夫,1385343,0.1686,太空救援
纪尧姆·达尔诺,1385549,0.1609,大坏狐狸的故事
席琳·荣特,1385552,0.1609,大坏狐狸的故事
达米安·维特卡,1385555,0.1609,大坏狐狸的故事
安托万·苏姆斯基,1385554,0.1609,大坏狐狸的故事
卡梅尔·阿卜德萨多克,1385547,0.1609,大坏狐狸的故事
克里斯多夫·勒莫因,1385550,0.1609,大坏狐狸的故事
纪尧姆·布谢德,1385548,0.1609,大坏狐狸的故事
鲍里斯·雷林格,1385551,0.1609,大坏狐狸的故事
玛佳丽·罗森茨威格,1385553,0.1609,大坏狐狸的故事
让·卢·霍维茨,1350920,0.1609,大坏狐狸的故事
伊夫·阎,1385556,0.1609,大坏狐狸的故事
威尔·阿奈特,1044709,0.1499,汪星卧底
卢达克里斯,1049714,0.1499,汪星卧底
斯坦利·图齐,1040517,0.1499,汪星卧底
娜塔莎·雷昂,1000096,0.1499,汪星卧底
艾伦·卡明,1006980,0.1499,汪星卧底
沙奎尔·奥尼尔,1032069,0.1499,汪星卧底
迪莉娅·谢泼德,1335909,0.1499,汪星卧底
安迪·比克维奇,1348311,0.1499,汪星卧底
奥马尔·查帕罗,1201649,0.1499,汪星卧底
凯瑞·莎勒,1322372,0.1499,汪星卧底
朱丽·沃特斯,1031902,0.1456,淘气大侦探 妈妈咪呀2
郑强,1351461,0.1455,天渠
褚楚,1357344,0.1455,天渠
王小挺,1326239,0.1455,天渠
侯煜,1327227,0.1455,天渠
李玉龙,1401101,0.1455,天渠
高圣远,1036695,0.1455,古剑奇谭之流月昭明 破梦游戏
上户彩,1050105,0.1434,昼颜
斋藤工,1025531,0.1434,昼颜
伊藤步,1000823,0.1434,昼颜
平山浩行,1314712,0.1434,昼颜
黑泽明日香,1037865,0.1434,昼颜
萩原实里,1349489,0.1434,昼颜
志贺广太郎,1274743,0.1434,昼颜
三浦诚己,1043336,0.1434,昼颜
涩川清彦,1011362,0.1434,昼颜
松居大悟,1322346,0.1434,昼颜
中村育二,1039341,0.1434,昼颜
萨姆·沃辛顿,1000147,0.1428,超能泰坦
泰勒·席林,1244878,0.1428,超能泰坦
汤姆·威尔金森,1036397,0.1428,超能泰坦
阿格妮丝·迪恩,1005000,0.1428,超能泰坦
娜塔莉·伊曼纽尔,1328248,0.1428,超能泰坦
亚历山大·约瓦诺维奇,1113359,0.1428,超能泰坦
亚伦·赫弗南,1394114,0.1428,超能泰坦
娜奥米·巴特里克,1349950,0.1428,超能泰坦
史蒂芬·克里,1332053,0.1428,超能泰坦
娜塔莉·波萨,1210474,0.1428,超能泰坦
弗朗西斯科·加里多,1284590,0.1428,超能泰坦
凯尔·索列尔,1335502,0.1428,超能泰坦
本·奥德里基,1272924,0.1428,超能泰坦
古斯塔沃·萨尔梅龙,1138109,0.1428,超能泰坦
梅尔·吉布森,1054530,0.1422,亡命救赎
艾琳·莫里亚蒂,1126302,0.1422,亡命救赎
迭戈·卢纳,1013867,0.1422,亡命救赎
迈克尔·帕克斯,1048217,0.1422,亡命救赎
威廉姆·H·梅西,1031892,0.1422,亡命救赎
米盖尔·桑多瓦尔,1142087,0.1422,亡命救赎
戴尔·迪奇,1313800,0.1422,亡命救赎
理查德·卡夫拉尔,1335468,0.1422,亡命救赎
丹尼尔·蒙卡达,1405493,0.1422,亡命救赎
瑞恩·多尔西,1352318,0.1422,亡命救赎
劳尔·特鲁希洛,1157871,0.1422,亡命救赎
琼安·坎普,1075502,0.1422,亡命救赎
托马斯·曼,1272859,0.1422,亡命救赎
泰特·弗莱彻,1389967,0.1422,亡命救赎
卢斯·雷恩斯,1339500,0.1422,亡命救赎
梅丽萨洛艾莉丝,1369896,0.1422,亡命救赎
宋茜,1315608,0.1412,古剑奇谭之流月昭明
高以翔,1273313,0.1412,古剑奇谭之流月昭明
吴千语,1316503,0.1412,古剑奇谭之流月昭明
纪焕博,1321846,0.1412,古剑奇谭之流月昭明
舒耀瑄,1314212,0.139,李保国 热土
瑞米·海依,1332456,0.1375,摘金奇缘 绝命时钟2:22
韩庚,1275667,0.1371,解码游戏 寻找罗麦
岳红,1052863,0.1334,人怕出名猪怕壮 那些女人
吴军,1274736,0.1284,李保国 疯狂熊孩子
鲁园,1317820,0.1282,大寒 敦煌不了情
吴克群,1313730,0.1278,为你写诗
周依然,1386044,0.1278,为你写诗
周键铭,1386045,0.1278,为你写诗
苏士为,1386046,0.1278,为你写诗
仇佩佩,1374870,0.1278,为你写诗
刘晨霞,1401039,0.1278,为你写诗
颜如晶,1352147,0.1278,为你写诗
张本煜,1338466,0.1278,为你写诗
潘粤明,1046960,0.1278,为你写诗
许文广,1326049,0.1274,李保国 五度空间
林永健,1274650,0.1256,李保国
尤勇,1301518,0.1256,李保国
高明,1009107,0.1256,李保国
何政军,1313462,0.1256,李保国
刘芳,1314410,0.1256,李保国
李林蔚,1378480,0.1256,李保国
戚云鹏,1325527,0.1256,李保国
任铭松,1350251,0.1256,李保国
李晓强,1360082,0.1256,李保国
王匡,1343390,0.1256,李保国
孙思翰,1368759,0.1256,李保国
施大生,1324186,0.1256,李保国
巍子,1275609,0.1256,李保国
范俊良,1378481,0.1256,李保国
周正启,1378482,0.1256,李保国
晁振轩,1399600,0.1256,李保国
谭凯,1275687,0.1207,道高一丈
徐露,1274777,0.1207,道高一丈
于明加,1318978,0.1207,道高一丈
张陆,1318034,0.1207,道高一丈
程煜,1314477,0.1207,道高一丈
宋春丽,1215394,0.1207,道高一丈
刘小宁,1314489,0.1207,道高一丈
石兆琪,1315058,0.1207,道高一丈
董博睿,1364257,0.1207,道高一丈
彭凌,1343493,0.1207,道高一丈
刘泳希,1375961,0.1207,道高一丈
王志刚,1322463,0.1207,道高一丈
史光辉,1323216,0.1207,道高一丈
袁满,1326044,0.1207,道高一丈
卢海华,1327779,0.1196,信仰者 策反
王力可,1314078,0.1183,信仰者 向阳的日子
黄少祺,1260483,0.116,信仰者
赵毅,1314844,0.116,信仰者
葛子铭,1327686,0.116,信仰者
李幼斌,1274703,0.116,信仰者
吴恬敏,1347823,0.1149,摘金奇缘
亨利·戈尔丁,1392013,0.1149,摘金奇缘
嘉玛·陈,1036516,0.1149,摘金奇缘
奥卡菲娜,1360857,0.1149,摘金奇缘
卢燕,1014332,0.1149,摘金奇缘
岑勇康,1044718,0.1149,摘金奇缘
郑肯,1275017,0.1149,摘金奇缘
吴育刚,1336256,0.1149,摘金奇缘
欧阳万成,1340211,0.1149,摘金奇缘
钱信伊,1392949,0.1149,摘金奇缘
尼科·桑托斯,1392957,0.1149,摘金奇缘
陆思敬,1246604,0.1149,摘金奇缘
苏慧敏,1318940,0.1149,摘金奇缘
方展发,1042126,0.1149,摘金奇缘
谢宛谕,1006171,0.1149,摘金奇缘
维多利亚·洛克,1392958,0.1149,摘金奇缘
许优美,1392953,0.1149,摘金奇缘
郑花如,1392954,0.1149,摘金奇缘
许静雯,1380397,0.1149,摘金奇缘
卡尔文·王,1399827,0.1149,摘金奇缘
陈琼华,1157891,0.1149,摘金奇缘
刘佳镁,1398919,0.1149,摘金奇缘
陈美廪,1392952,0.1149,摘金奇缘
内万·科伊特,1399826,0.1149,摘金奇缘
阿曼达·埃文斯,1399825,0.1149,摘金奇缘
彼得·霍奇森,1399824,0.1149,摘金奇缘
安德斯·塔格,1399823,0.1149,摘金奇缘
丹尼尔·詹金斯,1398917,0.1149,摘金奇缘
彼得·卡罗尔,1280161,0.1149,摘金奇缘
黛博拉·杨,1399822,0.1149,摘金奇缘
查尔斯·格朗斯,1392956,0.1149,摘金奇缘
杰西卡·加莱蒂,1399821,0.1149,摘金奇缘
Swee Huat Teo,1399820,0.1149,摘金奇缘
罗尼·纪,1399819,0.1149,摘金奇缘
Isaac Boon Chuon Lee,1399818,0.1149,摘金奇缘
罗杰·谢克,1399817,0.1149,摘金奇缘
Lee Zhi Jian,1399816,0.1149,摘金奇缘
Lee Jun Wen,1399815,0.1149,摘金奇缘
拉塞尔·黄,1399814,0.1149,摘金奇缘
马尔库斯·莫,1399813,0.1149,摘金奇缘
杰瑞卡·黎,1399812,0.1149,摘金奇缘
乔·翁,1399811,0.1149,摘金奇缘
陈胤希,1399034,0.1149,摘金奇缘
德尔菲诺润二,1399838,0.1149,摘金奇缘
Beatrice Chein,1399837,0.1149,摘金奇缘
Tan En Yu,1399836,0.1149,摘金奇缘
Tan En Dong,1399835,0.1149,摘金奇缘
姬丝·阿奎诺,1061167,0.1149,摘金奇缘
Lucinda Lew,1399834,0.1149,摘金奇缘
黄苏珊,1399833,0.1149,摘金奇缘
Tumurbaatar Enkhtungalag,1399832,0.1149,摘金奇缘
木下众平,1392951,0.1149,摘金奇缘
吉娜·格莱尼斯,1325152,0.1149,摘金奇缘
凯文·关,1392343,0.1149,摘金奇缘
斯蒂芬妮·欧阳,1399831,0.1149,摘金奇缘
Leong Chun Chong,1399830,0.1149,摘金奇缘
Ho Yan Xi,1399829,0.1149,摘金奇缘
兰斯·埃明格,1399828,0.1149,摘金奇缘
卡兰比尔·亨达尔,1392950,0.1149,摘金奇缘
斯蒂芬·杰克,1392955,0.1149,摘金奇缘
纪宝珠,1398918,0.1149,摘金奇缘
深津绘里,1014844,0.1141,生存家族
泉泽祐希,1315238,0.1141,生存家族
葵若菜,1046991,0.1141,生存家族
时任三郎,1007548,0.1141,生存家族
藤原纪香,1009922,0.1141,生存家族
大野拓朗,1313636,0.1141,生存家族
志尊淳,1322296,0.1141,生存家族
宅麻伸,1325686,0.1141,生存家族
大地康雄,1039020,0.1141,生存家族
松浦雅,1341352,0.1141,生存家族
克里斯托弗·普卢默,1036321,0.1116,金钱世界
马克·沃尔伯格,1035674,0.1116,金钱世界
查理·普拉默,1350090,0.1116,金钱世界
罗曼·杜里斯,1018093,0.1116,金钱世界
蒂莫西·赫顿,1025207,0.1116,金钱世界
斯塔西·马汀,1334729,0.1116,金钱世界
查理·肖特韦尔,1363353,0.1116,金钱世界
安德鲁·巴肯,1005010,0.1116,金钱世界
马克·莱昂纳蒂,1040799,0.1116,金钱世界
朱塞佩·博尼法蒂,1386517,0.1116,金钱世界
尼可拉斯·瓦波里蒂斯,1037212,0.1116,金钱世界
安德里亚·皮耶迪蒙特·博迪尼,1386518,0.1116,金钱世界
古列尔莫·法维拉,1386519,0.1116,金钱世界
尼古拉·迪奇欧,1386520,0.1116,金钱世界
阿黛尔·蒂兰特,1386523,0.1116,金钱世界
亚历山德拉·罗卡,1386525,0.1116,金钱世界
弗兰切斯卡·茵奥迪,1037204,0.1116,金钱世界
丹尼尔·高斯林,1214839,0.1116,金钱世界
乔纳森·阿里斯,1313128,0.1116,金钱世界
山姆·克拉弗林,1010617,0.1115,惊涛飓浪
谢琳·伍德蕾,1040526,0.1115,惊涛飓浪
杰弗瑞·托马斯,1349041,0.1115,惊涛飓浪
伊丽莎白·霍桑,1286259,0.1115,惊涛飓浪
格蕾丝·帕尔默,1396792,0.1115,惊涛飓浪
塔米·阿什克拉夫特,1396791,0.1115,惊涛飓浪
凯尔·达米拉米安,1396793,0.1115,惊涛飓浪
露娜·坎贝尔,1396794,0.1115,惊涛飓浪
扎克·贝雷斯福德,1396795,0.1115,惊涛飓浪
锡亚莱·吐诺卡,1396796,0.1115,惊涛飓浪
张优,1348506,0.1093,照相师 命运速递
王子今,1387153,0.1076,天慕 大导归来
吉列尔莫·罗梅罗,1140586,0.106,狗狗的疯狂假期
丹尼·罗维拉,1342567,0.106,狗狗的疯狂假期
何塞·莫塔,1173805,0.106,狗狗的疯狂假期
米歇尔·珍娜,1050174,0.106,狗狗的疯狂假期
卡洛斯·阿雷塞斯,1330859,0.106,狗狗的疯狂假期
费尔南多·特赫罗,1032653,0.106,狗狗的疯狂假期
胡安·费尔南德斯,1307425,0.106,狗狗的疯狂假期
埃尔莎·帕塔奇,1010610,0.106,狗狗的疯狂假期
巴勃罗·埃斯皮诺萨,1050837,0.106,狗狗的疯狂假期
大卫·赫尔曼,1032009,0.106,狗狗的疯狂假期
罗伯特·冈萨雷斯,1386725,0.106,狗狗的疯狂假期
马里奥·马丁·塞拉诺,1386726,0.106,狗狗的疯狂假期
加布里埃尔·吉梅内斯,1386727,0.106,狗狗的疯狂假期
何塞·路易斯·加西亚·佩雷斯,1386728,0.106,狗狗的疯狂假期
马诺洛·拉玛,1206867,0.106,狗狗的疯狂假期
马蒂亚斯·普拉茨,1128486,0.106,狗狗的疯狂假期
本杰明·内森·塞里奥,1386729,0.106,狗狗的疯狂假期
吉米·肖,1346181,0.106,狗狗的疯狂假期
王挺,1314471,0.1052,天慕
索朗卓嘎,1339506,0.1052,天慕
巴金旺甲,1375491,0.1052,天慕
庄庆宁,1326484,0.1052,天慕
蔡卫东,1331424,0.1052,天慕
宦普凡,1326481,0.1052,天慕
张风,1340649,0.1052,天慕
李先亮,1401049,0.1052,天慕
刘奕,1335268,0.1052,天慕
陈思宇,1364252,0.1052,天慕
赵军凯,1318791,0.1052,天慕
孙学增,1401051,0.1052,天慕
哈全贵,1401052,0.1052,天慕
欧戈兰·哈里木拜克,1401053,0.1052,天慕
何润达,1401054,0.1052,天慕
李佳琪,1401055,0.1052,天慕
旦正道尔吉,1401056,0.1052,天慕
米瑞安·玛格莱斯,1048191,0.105,无敌原始人 玛雅蜜蜂历险记
詹姆斯·麦卡沃伊,1006958,0.1041,淘气大侦探
切瓦特·埃加福特,1010581,0.1041,淘气大侦探
玛丽·布莱姬,1014134,0.1041,淘气大侦探
迈克尔·凯恩,1054509,0.1041,淘气大侦探
玛吉·史密斯,1013798,0.1041,淘气大侦探
凯利·阿斯博瑞,1014327,0.1041,淘气大侦探
德克斯特·弗莱彻,1007028,0.1041,淘气大侦探
马特·卢卡斯,1031821,0.1041,淘气大侦探
斯戴芬·莫昌特,1036473,0.1041,淘气大侦探
奥兹·奥斯朋,1055126,0.1041,淘气大侦探
罗莎莉·克雷格,1356420,0.1041,淘气大侦探
詹米·德米特鲁,1373219,0.1041,淘气大侦探
史蒂夫·汉密尔顿·肖,1365497,0.1041,淘气大侦探
吴汉章,1031824,0.1041,淘气大侦探
阿什利·詹森,1105399,0.1041,淘气大侦探
斯蒂芬·怀特,1169666,0.1041,淘气大侦探
理查德·威尔逊,1161655,0.1041,淘气大侦探
张一山,1274223,0.1028,那些女人 毕业作品 一纸婚约
李诚儒,1314331,0.1011,说走就走之不说再见 大导归来
谢钢,1313180,0.0999,照相师 血十三
牛骏峰,1322716,0.0987,说走就走之不说再见
白举纲,1340456,0.0987,说走就走之不说再见
叮当,1313582,0.0987,说走就走之不说再见
赵健雷,1373721,0.0987,说走就走之不说再见
麦肯泽·摩斯,1326635,0.098,萌犬好声音
凯特林·马希尔,1268703,0.098,萌犬好声音
杰德·瑞斯,1148334,0.098,萌犬好声音
汤姆·艾弗瑞特·斯科特,1049663,0.098,萌犬好声音
大卫·德路易斯,1090074,0.098,萌犬好声音
卡拉·吉门内斯,1215797,0.098,萌犬好声音
乔治·纽伯恩,1036500,0.098,萌犬好声音
奥巴·巴巴图德,1058076,0.098,萌犬好声音
戴德里克·巴德,1013870,0.098,萌犬好声音
妮基·布朗斯凯,1040538,0.098,萌犬好声音
隆巴多·博伊尔,1077918,0.098,萌犬好声音
克里斯·科波拉,1374217,0.098,萌犬好声音
伊桑·霍克,1018984,0.0977,24小时：末路重生
保罗·安德森,1317404,0.0977,24小时：末路重生
鲁特格尔·哈尔,1006991,0.0977,24小时：末路重生
利亚姆·坎宁安,1018077,0.0977,24小时：末路重生
娜塔莉·博尔特,1319332,0.0977,24小时：末路重生
坦娅·范·格拉恩,1246866,0.0977,24小时：末路重生
哈基姆·凯-卡西姆,1109510,0.0977,24小时：末路重生
珍娜·厄普顿,1384870,0.0977,24小时：末路重生
艾丹·怀托克,1384871,0.0977,24小时：末路重生
蒂龙·基奥,1384872,0.0977,24小时：末路重生
杰瑞米·杨,1384873,0.0977,24小时：末路重生
苏珊·玲·杨,1384874,0.0977,24小时：末路重生
理查德·洛锡安,1384875,0.0977,24小时：末路重生
比约恩·施泰因巴赫,1237251,0.0977,24小时：末路重生
布兰登·默雷,1384876,0.0977,24小时：末路重生
安德鲁·莫尔加多,1375868,0.0977,24小时：末路重生
杰森·梅德,1384877,0.0977,24小时：末路重生
加里·格鲁森,1384878,0.0977,24小时：末路重生
亚历克斯·安洛斯,1384879,0.0977,24小时：末路重生
凤小岳,1274684,0.0969,解码游戏
山下智久,1000845,0.0969,解码游戏
刘牧,1313315,0.0958,照相师 奔
马东延,1316513,0.0957,照相师 芒刺
苗苗,1328153,0.0955,最后一公里 在天堂等我 出走的娜拉
康磊,1346557,0.0952,照相师
涓子,1313796,0.0952,照相师
秦楚明,1376598,0.0952,照相师
于卉怡,1405584,0.0952,照相师
上泽,1405585,0.0952,照相师
方子怡,1405586,0.0952,照相师
刘玉龙,1405675,0.0952,照相师
梦丽,1342368,0.0947,敦煌不了情 冷恋时代
李彦锋,1392397,0.0902,最后一公里
王雨晗,1404406,0.0902,最后一公里
徐晨耀,1404407,0.0902,最后一公里
钟卫华,1348300,0.0902,最后一公里
陈依莎,1324161,0.0902,最后一公里
刘戈滨,1381100,0.0902,最后一公里
赵成顺,1318569,0.0902,最后一公里
菲利普·波佐,1389534,0.0868,虎皮萌企鹅
劳伦·默度,1389535,0.0868,虎皮萌企鹅
帕斯卡尔·卡萨诺瓦,1389536,0.0868,虎皮萌企鹅
席琳·蒙萨哈,1389537,0.0868,虎皮萌企鹅
Emmanuel Curtil,1068155,0.0868,虎皮萌企鹅
保罗·鲍恩,1389538,0.0868,虎皮萌企鹅
玛丽-克莉丝汀·达哈,1389539,0.0868,虎皮萌企鹅
弗朗兹·康菲艾克,1389540,0.0868,虎皮萌企鹅
艾朗·多瓦尔,1389541,0.0868,虎皮萌企鹅
Richard Darbois,1081666,0.0868,虎皮萌企鹅
米歇尔·梅拉,1389542,0.0868,虎皮萌企鹅
让-菲利普·皮马赫丹,1389543,0.0868,虎皮萌企鹅
芭芭拉·蒂西耶,1389544,0.0868,虎皮萌企鹅
亚历克斯·托马逊,1389545,0.0868,虎皮萌企鹅
奥利弗·科迪纳,1389546,0.0868,虎皮萌企鹅
乔丹·杜力乌,1381341,0.0864,我的宠物恐龙
Annabel Wolfe,1394385,0.0864,我的宠物恐龙
Scott Irwin,1394386,0.0864,我的宠物恐龙
Beth Champion,1394387,0.0864,我的宠物恐龙
Rowland Holmes,1394388,0.0864,我的宠物恐龙
Christopher Gabardi,1084843,0.0864,我的宠物恐龙
Harrison Saunders,1394389,0.0864,我的宠物恐龙
Tom Rooney,1381339,0.0864,我的宠物恐龙
Sam Winspear-Schillings,1381340,0.0864,我的宠物恐龙
Jack Mars,1394390,0.0864,我的宠物恐龙
Darius Williams,1394391,0.0864,我的宠物恐龙
Tiriel Mora,1128298,0.0864,我的宠物恐龙
斯蒂芬·戴维斯,1087297,0.0864,我的宠物恐龙
琼妮·萨缪尔,1351432,0.0864,我的宠物恐龙
大卫·罗伯茨,1295760,0.0864,我的宠物恐龙
文松,1351426,0.0858,S4侠降魔记 尖叫直播 让我怎么相信你
诹访部顺一,1003577,0.0841,哥斯拉：怪兽行星 黑子的篮球·终极一战
小野大辅,1045785,0.0841,哥斯拉：怪兽行星 黑子的篮球·终极一战
沈伐,1324270,0.0838,人怕出名猪怕壮
方清平,1377153,0.0838,人怕出名猪怕壮
朱子岩,1318056,0.0838,人怕出名猪怕壮
黄梁宇,1388227,0.0838,人怕出名猪怕壮
刘帅,1388228,0.0838,人怕出名猪怕壮
廖越,1369835,0.0838,人怕出名猪怕壮
林晓东,1388229,0.0838,人怕出名猪怕壮
于代君,1348769,0.0838,人怕出名猪怕壮
李东昌,1388230,0.0838,人怕出名猪怕壮
练卓,1388231,0.0838,人怕出名猪怕壮
李木子,1396352,0.0831,那些女人 冷恋时代
刘之冰,1316135,0.0806,又是一年三月三
孙亮,1380197,0.0806,又是一年三月三
厉家兵,1379400,0.0806,又是一年三月三
仁青娜姆,1406882,0.0806,又是一年三月三
李丰蔚,1406883,0.0806,又是一年三月三
田娜,1406884,0.0806,又是一年三月三
田牧童,1404297,0.0806,又是一年三月三
武文佳,1313359,0.0806,又是一年三月三
王学兵,1274550,0.0805,未择之路 冥王星时刻
蔡洁,1339078,0.0803,脱皮爸爸
田蕊妮,1275866,0.0803,脱皮爸爸
费曼,1340844,0.0803,脱皮爸爸
凯萨琳·戴尔,1282896,0.0793,战犬瑞克斯 夺命来电
约书亚·米克尔,1355629,0.0778,爱在记忆消逝前 夺命来电
张铎,1275537,0.0761,春天的马拉松
徐百卉,1316554,0.0761,春天的马拉松
杨立新,1274256,0.0761,春天的马拉松
杨昆,1315663,0.0761,春天的马拉松
王旭峰,1334969,0.0745,未择之路
王槊,1338063,0.0745,未择之路
王洛勇,1274819,0.0731,文朝荣 闽宁镇
田牧宸,1318376,0.0706,香港大营救 三伏天
李炳渊,1343152,0.0692,敦煌不了情 天下第一镖局 玩命
保剑锋,1044611,0.069,那些女人 亲爱的，我要和别人结婚了
理查德·劳斯伯格,1013865,0.069,玛雅蜜蜂历险记
可可·杰克·吉利斯,1354245,0.069,玛雅蜜蜂历险记
贾丝婷·克拉克,1280862,0.069,玛雅蜜蜂历险记
安迪·麦克菲,1349039,0.069,玛雅蜜蜂历险记
杰基·韦佛,1161151,0.069,玛雅蜜蜂历险记
Heather Mitchell,1394765,0.069,玛雅蜜蜂历险记
David Collins,1394762,0.069,玛雅蜜蜂历险记
Shane Dundas,1394763,0.069,玛雅蜜蜂历险记
Eva-Maria Hagen,1093491,0.069,玛雅蜜蜂历险记
Constantin von Jascheroff,1164666,0.069,玛雅蜜蜂历险记
Bodo Wolf,1169126,0.069,玛雅蜜蜂历险记
亚力克斯·施塔德曼,1298221,0.069,玛雅蜜蜂历险记
芬·埃德基 ,1393116,0.069,玛雅蜜蜂历险记
圣地亚哥·齐斯默,1167290,0.069,玛雅蜜蜂历险记
Till C. Hagen,1099607,0.069,玛雅蜜蜂历险记
阿克塞尔·勒特,1362204,0.069,玛雅蜜蜂历险记
Cam Ralph,1394757,0.069,玛雅蜜蜂历险记
Jan Delay,1232774,0.069,玛雅蜜蜂历险记
小野贤章,1323336,0.0679,黑子的篮球·终极一战
小野友树,1244490,0.0679,黑子的篮球·终极一战
神谷浩史,1274377,0.0679,黑子的篮球·终极一战
木村良平,1314813,0.0679,黑子的篮球·终极一战
铃村健一,1050963,0.0679,黑子的篮球·终极一战
绿川光,1048584,0.0679,黑子的篮球·终极一战
稻田彻,1206855,0.0679,黑子的篮球·终极一战
斋藤千和,1033828,0.0679,黑子的篮球·终极一战
颜丙燕,1040392,0.0678,香港大营救
梁俊一,1314262,0.0678,香港大营救
霍青,1316349,0.0678,香港大营救 黑蝴蝶
王晖,1321811,0.0678,香港大营救
杨紫彤,1316206,0.0678,香港大营救
美浓轮泰史,1354011,0.0678,香港大营救
大村波彦,1350319,0.0678,香港大营救
大冢匡将,1317377,0.0678,香港大营救
柴尧,1391124,0.0678,香港大营救
黄俊彬,1391125,0.0678,香港大营救
翁长特,1391126,0.0678,香港大营救
姚未平,1364573,0.0678,香港大营救
陈晓雪,1327869,0.0678,香港大营救
凯特·玛拉,1031801,0.0671,战犬瑞克斯
汤姆·费尔顿,1049488,0.0671,战犬瑞克斯
布莱德利·惠特福德,1027158,0.0671,战犬瑞克斯
杰拉丁妮·詹姆斯,1010653,0.0671,战犬瑞克斯
埃迪·法可,1009290,0.0671,战犬瑞克斯
威尔·帕顿,1019066,0.0671,战犬瑞克斯
拉蒙·罗德里格兹,1036497,0.0671,战犬瑞克斯
珊农·塔伯特,1370694,0.0671,战犬瑞克斯
米格尔·戈麦斯,1341632,0.0671,战犬瑞克斯
乔纳森·霍华德,1319208,0.0671,战犬瑞克斯
乔治·韦伯斯特,1355599,0.0671,战犬瑞克斯
山姆·基利,1316917,0.0671,战犬瑞克斯
迈尔斯·穆森登,1369046,0.0671,战犬瑞克斯
玛丽娜·马修斯,1335224,0.0671,战犬瑞克斯
帕克·索耶,1349433,0.0671,战犬瑞克斯
张双兵,1386531,0.067,大寒
许薇,1349564,0.067,大寒
李可,1350210,0.067,大寒
张世民,1385765,0.067,大寒
彭波,1317859,0.0666,敦煌不了情 奶奶的家 盯上小偷的贼 审判者1 我来过 追宝狂想曲 寻找女神@娇阿依
斯琴高娃,1274429,0.0665,您一定不要错过 荒城纪
李国煌,1329095,0.0662,李宗伟：败者为王
杨雁雁,1315164,0.0662,李宗伟：败者为王
拿督·罗斯彦·诺,1134106,0.0662,李宗伟：败者为王
黄炜杰,1393205,0.0662,李宗伟：败者为王
曾冠源,1393206,0.0662,李宗伟：败者为王
李宗伟,1393208,0.0662,李宗伟：败者为王
阿什利·华,1393207,0.0662,李宗伟：败者为王
唐纳德·萨瑟兰,1010556,0.0656,爱在记忆消逝前
简·默勒尼,1027309,0.0656,爱在记忆消逝前
克里斯蒂·米切尔,1120729,0.0656,爱在记忆消逝前
罗伯特·沃克·布兰乔德,1360137,0.0656,爱在记忆消逝前
克里斯蒂安·麦凯,1274941,0.0656,爱在记忆消逝前
约书亚·胡佛,1374216,0.0656,爱在记忆消逝前
罗伯特·普拉尔戈,1174082,0.0656,爱在记忆消逝前
