Source,Target,Type,Id,Label,timeset,Weight,,,,,
1009610,1009282,Undirected,17235,,,115,,,,,
1009220,1009583,Undirected,17529,,,115,,,,,
1009262,1009389,Undirected,18062,,,115,,,,,
1009629,1009417,Undirected,18392,,,115,,,,,
1009726,1009267,Undirected,17389,,,114,,,,,
1009338,1009562,Undirected,19036,,,114,,,,,
1009175,1009182,Undirected,18537,,,112,,,,,
1009724,1009277,Undirected,19585,,,112,,,,,
1009610,1009215,Undirected,17271,,,111,,,,,
1009726,1009554,Undirected,17374,,,111,,,,,
1009220,1009719,Undirected,17552,,,111,,,,,
1009610,1009338,Undirected,17247,,,110,,,,,
1009351,1009379,Undirected,17853,,,109,,,,,
1009629,1009504,Undirected,18395,,,109,,,,,
1009338,1009697,Undirected,19033,,,109,,,,,
1009562,1009719,Undirected,19357,,,109,,,,,
1009219,1009638,Undirected,20174,,,109,,,,,
1009726,1009165,Undirected,17319,,,108,,,,,
1009726,1009382,Undirected,17399,,,108,,,,,
1009368,1009356,Undirected,17413,,,108,,,,,
1009718,1009219,Undirected,17637,,,108,,,,,
1009718,1009608,Undirected,17660,,,108,,,,,
1009257,1009327,Undirected,18224,,,108,,,,,
1009175,1009472,Undirected,18508,,,108,,,,,
1009338,1009189,Undirected,19038,,,107,,,,,
1009472,1009504,Undirected,18941,,,106,,,,,
1009165,1009583,Undirected,17726,,,105,,,,,
1009220,1009459,Undirected,17515,,,104,,,,,
1009718,1009182,Undirected,17632,,,104,,,,,
1009472,1009362,Undirected,18924,,,104,,,,,
1009697,1009524,Undirected,19213,,,104,,,,,
1009610,1009366,Undirected,17237,,,103,,,,,
1009368,1009282,Undirected,17418,,,103,,,,,
1009718,1009554,Undirected,17640,,,103,,,,,
1009459,1009583,Undirected,18821,,,103,,,,,
1009610,1009389,Undirected,17289,,,102,,,,,
1009726,1009638,Undirected,17402,,,102,,,,,
1009368,1009471,Undirected,17437,,,102,,,,,
1009299,1009583,Undirected,17892,,,102,,,,,
1009159,1009313,Undirected,19143,,,102,,,,,
1009708,1009372,Undirected,19764,,,101,,,,,
1009718,1009268,Undirected,17591,,,100,,,,,
1009351,1009662,Undirected,17785,,,100,,,,,
1009368,1009524,Undirected,17455,,,99,,,,,
1009220,1010338,Undirected,17528,,,99,,,,,
1009243,1009504,Undirected,18598,,,99,,,,,
1009243,1009337,Undirected,18604,,,99,,,,,
1009610,1009325,Undirected,17311,,,98,,,,,
1009726,1009277,Undirected,17378,,,98,,,,,
1009368,1009175,Undirected,17421,,,98,,,,,
1009718,1009338,Undirected,17604,,,98,,,,,
1009165,1011490,Undirected,17745,,,97,,,,,
1009367,1009215,Undirected,19890,,,97,,,,,
1009165,1009343,Undirected,17754,,,96,,,,,
1009459,1009281,Undirected,18825,,,96,,,,,
1009546,1009159,Undirected,18873,,,96,,,,,
1009472,1009159,Undirected,18925,,,96,,,,,
1009724,1009219,Undirected,19581,,,96,,,,,
1009165,1009608,Undirected,17771,,,95,,,,,
1009366,1009583,Undirected,18455,,,95,,,,,
1009592,1009312,Undirected,19024,,,95,,,,,
1009220,1010791,Undirected,17514,,,93,,,,,
1009257,1009182,Undirected,18196,,,93,,,,,
1009368,1009583,Undirected,17440,,,92,,,,,
1009724,1009638,Undirected,19596,,,92,,,,,
1009512,1009182,Undirected,19609,,,92,,,,,
1009718,1009662,Undirected,17589,,,90,,,,,
1009257,1009508,Undirected,18198,,,90,,,,,
1009472,1009313,Undirected,18927,,,90,,,,,
1009219,1009705,Undirected,20168,,,90,,,,,
1009243,1009310,Undirected,18599,,,89,,,,,
1009362,1009512,Undirected,19098,,,89,,,,,
1009351,1009338,Undirected,17800,,,88,,,,,
1009546,1009504,Undirected,18888,,,88,,,,,
1009472,1009512,Undirected,18935,,,88,,,,,
1009214,1009277,Undirected,19316,,,88,,,,,
1009610,1009268,Undirected,17234,,,87,,,,,
1009313,1009381,Undirected,19276,,,87,,,,,
1009362,1009337,Undirected,19112,,,86,,,,,
1009512,1009381,Undirected,19625,,,86,,,,,
1009718,1009499,Undirected,17642,,,85,,,,,
1009362,1009182,Undirected,19113,,,85,,,,,
1009159,1009182,Undirected,19164,,,85,,,,,
1009697,1011490,Undirected,19217,,,85,,,,,
1009697,1009719,Undirected,19222,,,85,,,,,
1009299,1009312,Undirected,17932,,,84,,,,,
1009187,1009562,Undirected,18701,,,84,,,,,
1009338,1009524,Undirected,19053,,,84,,,,,
1009707,1009719,Undirected,19654,,,84,,,,,
1009705,1009638,Undirected,20381,,,84,,,,,
1009220,1009215,Undirected,17542,,,83,,,,,
1009351,1009356,Undirected,17783,,,83,,,,,
1009351,1009459,Undirected,17796,,,83,,,,,
1009583,1009707,Undirected,19530,,,83,,,,,
1009257,1009337,Undirected,18195,,,82,,,,,
1009718,1009267,Undirected,17655,,,81,,,,,
1009356,1010791,Undirected,17953,,,81,,,,,
1009187,1009707,Undirected,18707,,,81,,,,,
1009220,1009366,Undirected,17509,,,80,,,,,
1009262,1009515,Undirected,18021,,,80,,,,,
1009313,1009417,Undirected,19255,,,80,,,,,
1009351,1009282,Undirected,17788,,,79,,,,,
1009362,1009499,Undirected,19121,,,79,,,,,
1009726,1009524,Undirected,17364,,,78,,,,,
1009368,1009366,Undirected,17420,,,78,,,,,
1009718,1009724,Undirected,17615,,,78,,,,,
1009629,1009219,Undirected,18407,,,78,,,,,
1009417,1009310,Undirected,19723,,,78,,,,,
1009220,1009175,Undirected,17510,,,77,,,,,
1009220,1011490,Undirected,17547,,,77,,,,,
1009629,1009337,Undirected,18402,,,77,,,,,
1009368,1009299,Undirected,17412,,,76,,,,,
1009175,1009508,Undirected,18539,,,76,,,,,
1009175,1009327,Undirected,18565,,,76,,,,,
1009220,1009262,Undirected,17503,,,75,,,,,
1009165,1009175,Undirected,17707,,,75,,,,,
1009351,1009299,Undirected,17782,,,75,,,,,
1009629,1009310,Undirected,18396,,,75,,,,,
1009629,1009381,Undirected,18421,,,75,,,,,
1009214,1009724,Undirected,19296,,,75,,,,,
1009707,1009524,Undirected,19647,,,75,,,,,
1009629,1009508,Undirected,18405,,,74,,,,,
1009726,1009220,Undirected,17316,,,73,,,,,
1009726,1009299,Undirected,17321,,,73,,,,,
1009368,1009262,Undirected,17414,,,73,,,,,
1009299,1009592,Undirected,17882,,,73,,,,,
1009662,1009583,Undirected,18107,,,73,,,,,
1009546,1009381,Undirected,18908,,,73,,,,,
1009220,1009282,Undirected,17507,,,72,,,,,
1009220,1009343,Undirected,17556,,,72,,,,,
